feature,family,stage
lag00__relative_x,history_lags,research
lag01__relative_x,history_lags,research
lag02__relative_x,history_lags,research
lag03__relative_x,history_lags,research
lag04__relative_x,history_lags,research
lag05__relative_x,history_lags,research
lag06__relative_x,history_lags,research
lag07__relative_x,history_lags,research
lag08__relative_x,history_lags,research
lag09__relative_x,history_lags,research
lag10__relative_x,history_lags,research
lag11__relative_x,history_lags,research
lag12__relative_x,history_lags,research
lag13__relative_x,history_lags,research
lag14__relative_x,history_lags,research
lag15__relative_x,history_lags,research
lag16__relative_x,history_lags,research
lag17__relative_x,history_lags,research
lag18__relative_x,history_lags,research
lag19__relative_x,history_lags,research
w03__relative_x__mean,history_summaries,research
w03__relative_x__std,history_summaries,research
w03__relative_x__min,history_summaries,research
w03__relative_x__max,history_summaries,research
w03__relative_x__rms,history_summaries,research
w03__relative_x__slope,history_summaries,research
w03__relative_x__change,history_summaries,research
w03__relative_x__ewmean,history_summaries,research
w05__relative_x__mean,history_summaries,research
w05__relative_x__std,history_summaries,research
w05__relative_x__min,history_summaries,research
w05__relative_x__max,history_summaries,research
w05__relative_x__rms,history_summaries,research
w05__relative_x__slope,history_summaries,research
w05__relative_x__change,history_summaries,research
w05__relative_x__ewmean,history_summaries,research
w08__relative_x__mean,history_summaries,research
w08__relative_x__std,history_summaries,research
w08__relative_x__min,history_summaries,research
w08__relative_x__max,history_summaries,research
w08__relative_x__rms,history_summaries,research
w08__relative_x__slope,history_summaries,research
w08__relative_x__change,history_summaries,research
w08__relative_x__ewmean,history_summaries,research
w12__relative_x__mean,history_summaries,research
w12__relative_x__std,history_summaries,research
w12__relative_x__min,history_summaries,research
w12__relative_x__max,history_summaries,research
w12__relative_x__rms,history_summaries,research
w12__relative_x__slope,history_summaries,research
w12__relative_x__change,history_summaries,research
w12__relative_x__ewmean,history_summaries,research
w20__relative_x__mean,history_summaries,research
w20__relative_x__std,history_summaries,research
w20__relative_x__min,history_summaries,research
w20__relative_x__max,history_summaries,research
w20__relative_x__rms,history_summaries,research
w20__relative_x__slope,history_summaries,research
w20__relative_x__change,history_summaries,research
w20__relative_x__ewmean,history_summaries,research
w30__relative_x__mean,history_summaries,research
w30__relative_x__std,history_summaries,research
w30__relative_x__min,history_summaries,research
w30__relative_x__max,history_summaries,research
w30__relative_x__rms,history_summaries,research
w30__relative_x__slope,history_summaries,research
w30__relative_x__change,history_summaries,research
w30__relative_x__ewmean,history_summaries,research
w40__relative_x__mean,history_summaries,research
w40__relative_x__std,history_summaries,research
w40__relative_x__min,history_summaries,research
w40__relative_x__max,history_summaries,research
w40__relative_x__rms,history_summaries,research
w40__relative_x__slope,history_summaries,research
w40__relative_x__change,history_summaries,research
w40__relative_x__ewmean,history_summaries,research
lag00__relative_y,history_lags,research
lag01__relative_y,history_lags,research
lag02__relative_y,history_lags,research
lag03__relative_y,history_lags,research
lag04__relative_y,history_lags,research
lag05__relative_y,history_lags,research
lag06__relative_y,history_lags,research
lag07__relative_y,history_lags,research
lag08__relative_y,history_lags,research
lag09__relative_y,history_lags,research
lag10__relative_y,history_lags,research
lag11__relative_y,history_lags,research
lag12__relative_y,history_lags,research
lag13__relative_y,history_lags,research
lag14__relative_y,history_lags,research
lag15__relative_y,history_lags,research
lag16__relative_y,history_lags,research
lag17__relative_y,history_lags,research
lag18__relative_y,history_lags,research
lag19__relative_y,history_lags,research
w03__relative_y__mean,history_summaries,research
w03__relative_y__std,history_summaries,research
w03__relative_y__min,history_summaries,research
w03__relative_y__max,history_summaries,research
w03__relative_y__rms,history_summaries,research
w03__relative_y__slope,history_summaries,research
w03__relative_y__change,history_summaries,research
w03__relative_y__ewmean,history_summaries,research
w05__relative_y__mean,history_summaries,research
w05__relative_y__std,history_summaries,research
w05__relative_y__min,history_summaries,research
w05__relative_y__max,history_summaries,research
w05__relative_y__rms,history_summaries,research
w05__relative_y__slope,history_summaries,research
w05__relative_y__change,history_summaries,research
w05__relative_y__ewmean,history_summaries,research
w08__relative_y__mean,history_summaries,research
w08__relative_y__std,history_summaries,research
w08__relative_y__min,history_summaries,research
w08__relative_y__max,history_summaries,research
w08__relative_y__rms,history_summaries,research
w08__relative_y__slope,history_summaries,research
w08__relative_y__change,history_summaries,research
w08__relative_y__ewmean,history_summaries,research
w12__relative_y__mean,history_summaries,research
w12__relative_y__std,history_summaries,research
w12__relative_y__min,history_summaries,research
