round,index,name,block,unit,physical_divisor,formula,availability,provenance,predictive_value
12,0,receiver_dx,audited_core,yards,20.0,r_x-x,Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,1,receiver_dy,audited_core,yards,20.0,r_y-y,Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,2,receiver_dvx,audited_core,yards/s,10.0,v_rx-v_x,Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,3,receiver_dvy,audited_core,yards/s,10.0,v_ry-v_y,Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,4,receiver_distance,audited_core,yards,20.0,norm(r-x),Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,5,receiver_closing_speed,audited_core,yards/s,10.0,"-dot(r-x,v_r-v)/distance",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,6,receiver_lateral_speed,new_extension,yards/s,10.0,"cross(r-x,v_r-v)/distance",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,7,receiver_velocity_alignment,new_extension,cosine,1.0,"dot(v_r,v)/(norm(v_r)*norm(v))",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,8,receiver_bearing_rate,new_extension,rad/s,10.0,"atan2(cross(dp_prev,dp_now),dot(dp_prev,dp_now))/0.1",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,9,receiver_distance_change_rate,new_extension,yards/s,10.0,(distance_now-distance_prev)/0.1,Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,10,receiver_goal_parallel_sep,new_extension,yards,20.0,"dot(r-x,unit(ball-x))",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
12,11,receiver_goal_lateral_sep,new_extension,yards,20.0,"cross(unit(ball-x),r-x)",Simultaneous receiver and player observations; no self edge. Channel-dependent moving/distance masks. Adjacent support for rates.,observed inputs only; no target/validation fit,unmeasured in this interface
13,0,observed_ax,audited_core,yards/s^2,20.0,delta(v_x)/0.1,Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,1,observed_ay,audited_core,yards/s^2,20.0,delta(v_y)/0.1,Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,2,tangential_acceleration,audited_core,yards/s^2,20.0,"dot(v,a)/speed",Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,3,normal_acceleration,audited_core,yards/s^2,20.0,"cross(v,a)/speed",Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,4,velocity_turn_rate,audited_core,rad/s,10.0,"wrapped angle(v_prev,v_now)/0.1",Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,5,speed_change_rate,audited_core,yards/s^2,20.0,delta(speed)/0.1,Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,6,ax_trailing3,new_extension,yards/s^2,20.0,mean(ax in current and previous 2 slots),Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,7,ay_trailing3,new_extension,yards/s^2,20.0,mean(ay in current and previous 2 slots),Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,8,ax_trailing5,new_extension,yards/s^2,20.0,mean(ax in current and previous 4 slots),Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,9,ay_trailing5,new_extension,yards/s^2,20.0,mean(ay in current and previous 4 slots),Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,10,observed_jerk_x,new_extension,yards/s^3,100.0,delta(ax)/0.1,Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
13,11,observed_jerk_y,new_extension,yards/s^3,100.0,delta(ay)/0.1,Adjacent observed velocities; full contiguous support for trailing windows and second differences.,observed inputs only; no target/validation fit,unmeasured in this interface
