feature,family,availability,meaning,leakage_guard
opponent_1__lag00__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag00__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag02__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__lag02__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
