name,family,role,window_frames,component,units,availability,overlap,evidence
turn__Targeted Receiver__w5__dx,turn,Targeted Receiver,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Targeted Receiver__w5__dy,turn,Targeted Receiver,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Targeted Receiver__w5__support_t,turn,Targeted Receiver,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Targeted Receiver__w10__dx,turn,Targeted Receiver,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Targeted Receiver__w10__dy,turn,Targeted Receiver,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Targeted Receiver__w10__support_t,turn,Targeted Receiver,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w5__dx,turn,Defensive Coverage,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w5__dy,turn,Defensive Coverage,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w5__support_t,turn,Defensive Coverage,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w10__dx,turn,Defensive Coverage,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w10__dy,turn,Defensive Coverage,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Defensive Coverage__w10__support_t,turn,Defensive Coverage,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w5__dx,turn,Passer,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w5__dy,turn,Passer,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w5__support_t,turn,Passer,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w10__dx,turn,Passer,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w10__dy,turn,Passer,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Passer__w10__support_t,turn,Passer,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Other Route Runner__w5__dx,turn,Other Route Runner,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Other Route Runner__w5__dy,turn,Other Route Runner,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Other Route Runner__w5__support_t,turn,Other Route Runner,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Other Route Runner__w10__dx,turn,Other Route Runner,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
