column,representation,availability,retention_status
intercept,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
elapsed,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
elapsed_squared,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
remaining,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
phase,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
origin_offset,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__x_center,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__y_center,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__vx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__vy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__ball_dx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__ball_dy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__age,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__horizon,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__observed_fraction,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__vx_observed,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__orientation_x,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__orientation_y,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__orientation_observed,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__receiver_dx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__receiver_dy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__receiver_vx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__receiver_vy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__receiver_joint,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__passer_dx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__passer_dy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__passer_joint,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__is_offense,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_displacement_x,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_displacement_y,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_mean_vx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_mean_vy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_velocity_change_x,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_velocity_change_y,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_path_length,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_straightness,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_joint_receiver_dx_change,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_joint_receiver_dy_change,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_observed_fraction,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w5_joint_receiver_fraction,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_displacement_x,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_displacement_y,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_mean_vx,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_mean_vy,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_velocity_change_x,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
response_time__w10_velocity_change_y,control,observed input and supplied request/horizon,fixed baseline; train-only variance screen
