round,index,block,name,physical_unit,fixed_divisor,information_time,availability,status
14,0,core,goal_parallel_acceleration,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,1,core,goal_lateral_acceleration,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,2,core,goal_parallel_jerk,yards/s^3,100,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,3,core,goal_lateral_jerk,yards/s^3,100,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,4,core,velocity_goal_alignment,cosine,1,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,5,core,velocity_goal_lateral_alignment,signed sine,1,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,6,extension,goal_parallel_acceleration_trailing3,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,7,extension,goal_lateral_acceleration_trailing3,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,8,extension,goal_parallel_acceleration_trailing5,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,9,extension,goal_lateral_acceleration_trailing5,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,10,extension,closing_speed_change_rate,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
14,11,extension,lateral_goal_speed_change_rate,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,0,core,receiver_relative_ax,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,1,core,receiver_relative_ay,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,2,core,receiver_closing_acceleration,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,3,core,receiver_lateral_acceleration,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,4,core,receiver_turn_rate_difference,rad/s,10,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,5,core,receiver_speed_change_difference,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,6,extension,receiver_relative_ax_trailing3,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,7,extension,receiver_relative_ay_trailing3,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,8,extension,receiver_relative_ax_trailing5,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,9,extension,receiver_relative_ay_trailing5,yards/s^2,20,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,10,extension,receiver_relative_jerk_x,yards/s^3,100,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
15,11,extension,receiver_relative_jerk_y,yards/s^3,100,observed only; no future player coordinates,explicit channel-validity mask; complete adjacent windows; no gap filling,prepared; unexecuted; untested; no new predictive evidence
